carrier,class,rrd,avg_business,avg_leisure
AL1,Y0,63,0,0
AL1,Y0,56,3.69,0
AL1,Y0,49,6.71,0
AL1,Y0,42,9.16,0
AL1,Y0,35,12.2,0
AL1,Y0,31,14.07,0
AL1,Y0,28,15.36,0
AL1,Y0,24,17.17,0
AL1,Y0,21,19.01,0
AL1,Y0,17,21.44,0
AL1,Y0,14,24.49,0
AL1,Y0,10,30.61,0
AL1,Y0,7,37.96,0
AL1,Y0,5,42.84,0
AL1,Y0,3,47.69,0.02
AL1,Y0,1,56.83,0.04
AL1,Y0,0,58.83,0.04
AL1,Y1,63,0,0
AL1,Y1,56,3.37,0
AL1,Y1,49,6.2,0
AL1,Y1,42,8.51,0
AL1,Y1,35,11.32,0
AL1,Y1,31,13.07,0
AL1,Y1,28,14.27,0
AL1,Y1,24,15.98,0
AL1,Y1,21,17.72,0.01
AL1,Y1,17,20.01,0.02
AL1,Y1,14,22.86,0.04
AL1,Y1,10,28.51,0.09
AL1,Y1,7,35.3,0.16
AL1,Y1,5,39.78,0.24
AL1,Y1,3,44.03,0.47
AL1,Y1,1,52.64,1
AL1,Y1,0,54.79,1.29
AL1,Y2,63,0,0
AL1,Y2,56,1.88,0
AL1,Y2,49,3.5,0
AL1,Y2,42,4.76,0
AL1,Y2,35,6.37,0
AL1,Y2,31,7.33,0.01
AL1,Y2,28,8,0.02
AL1,Y2,24,8.98,0.11
AL1,Y2,21,10.03,0.38
AL1,Y2,17,11.47,0.79
AL1,Y2,14,13.21,1.3
AL1,Y2,10,16.91,2.07
AL1,Y2,7,21.13,2.49
AL1,Y2,5,23.93,3.55
AL1,Y2,3,26.37,5.75
AL1,Y2,1,26.37,5.75
AL1,Y2,0,26.37,5.75
AL1,Y3,63,0,0
AL1,Y3,56,0.24,0.23
AL1,Y3,49,0.44,0.34
AL1,Y3,42,0.6,0.48
AL1,Y3,35,0.79,0.7
AL1,Y3,31,0.91,1.05
AL1,Y3,28,0.99,1.49
AL1,Y3,24,1.11,3.09
AL1,Y3,21,1.22,5.54
AL1,Y3,17,1.37,7.67
AL1,Y3,14,1.54,9.41
AL1,Y3,10,1.87,13.47
AL1,Y3,7,2.23,15.85
AL1,Y3,5,2.23,15.85
AL1,Y3,3,2.23,15.85
AL1,Y3,1,2.23,15.85
AL1,Y3,0,2.23,15.85
AL1,Y4,63,0,0
AL1,Y4,56,0.5,25.98
AL1,Y4,49,0.91,38.08
AL1,Y4,42,1.24,51.79
AL1,Y4,35,1.64,65.57
AL1,Y4,31,1.89,74.39
AL1,Y4,28,2.05,79.99
AL1,Y4,24,2.25,89.81
AL1,Y4,21,2.42,97.87
AL1,Y4,17,2.6,103.4
AL1,Y4,14,2.8,107.48
AL1,Y4,10,2.8,107.48
AL1,Y4,7,2.8,107.48
AL1,Y4,5,2.8,107.48
AL1,Y4,3,2.8,107.48
AL1,Y4,1,2.8,107.48
AL1,Y4,0,2.8,107.48
AL1,Y5,63,0,0
AL1,Y5,56,0,4.95
AL1,Y5,49,0,7.52
AL1,Y5,42,0,10.21
AL1,Y5,35,0,12.73
AL1,Y5,31,0,14.49
AL1,Y5,28,0,15.66
AL1,Y5,24,0,17.7
AL1,Y5,21,0,19.69
AL1,Y5,17,0,19.69
AL1,Y5,14,0,19.69
AL1,Y5,10,0,19.69
AL1,Y5,7,0,19.69
AL1,Y5,5,0,19.69
AL1,Y5,3,0,19.69
AL1,Y5,1,0,19.69
AL1,Y5,0,0,19.69
AL2,Y0,63,0,0
AL2,Y0,56,3.69,0
AL2,Y0,49,6.71,0
AL2,Y0,42,9.16,0
AL2,Y0,35,12.2,0
AL2,Y0,31,14.07,0
AL2,Y0,28,15.36,0
AL2,Y0,24,17.17,0
AL2,Y0,21,19.01,0
AL2,Y0,17,21.44,0
AL2,Y0,14,24.49,0
AL2,Y0,10,30.61,0
AL2,Y0,7,37.96,0
AL2,Y0,5,42.84,0
AL2,Y0,3,47.69,0.02
AL2,Y0,1,56.83,0.04
AL2,Y0,0,58.83,0.04
AL2,Y1,63,0,0
AL2,Y1,56,3.37,0
AL2,Y1,49,6.2,0
AL2,Y1,42,8.51,0
AL2,Y1,35,11.32,0
AL2,Y1,31,13.07,0
AL2,Y1,28,14.27,0
AL2,Y1,24,15.98,0
AL2,Y1,21,17.72,0.01
AL2,Y1,17,20.01,0.02
AL2,Y1,14,22.86,0.04
AL2,Y1,10,28.51,0.09
AL2,Y1,7,35.3,0.16
AL2,Y1,5,39.78,0.24
AL2,Y1,3,44.03,0.47
AL2,Y1,1,52.64,1
AL2,Y1,0,54.79,1.29
AL2,Y2,63,0,0
AL2,Y2,56,1.88,0
AL2,Y2,49,3.5,0
AL2,Y2,42,4.76,0
AL2,Y2,35,6.37,0
AL2,Y2,31,7.33,0.01
AL2,Y2,28,8,0.02
AL2,Y2,24,8.98,0.11
AL2,Y2,21,10.03,0.38
AL2,Y2,17,11.47,0.79
AL2,Y2,14,13.21,1.3
